symbol,name,contractAddress,balance,decimals
ApeCoin,ApeCoin DAO,0x134f18a6864efb61ea8636d1bdb0cc3c4c8fd797,767387143.779415173800484933,18
MCAFEE,MCAFEE,0x139648561c8c5ab03bca397a324e445aaf5d3327,120033.561087,9
SHIB2023,SHIBA INU 2023,0x13bb54a852a53c4259f0f0c3f08a243ab9e4b21b,4722489765611.43825963775497945,18
World,Peaceful World,0x13bc6a0c84d757460e86b7ba186a17a05a431082,11166847937.6588974286199832,18
╭ᑎ╮,Vitaliks Boner,0x13e7006cf58857efd24ab1f5a90df2df07dfec5b,690420.0,18
SPACEHOBBES,SPACEHOBBES,0x13e834d68ca981a35dfddb1b2d38c8875d77224a,20000000.0,8
A68.net,A68.net,0x1412eca9dc7daef60451e3155bb8dbf9da349933,93989.28,18
PYRO,PYRO Network,0x14409b0fc5c7f87b5dad20754fe22d29a3de8217,10000.0,18
FashionAI,FashionAI,0x148d3385b9efaf973f40df4e1dbba09894870e8f,50.503309398,9
UkraineWin,Ukraine Win,0x1492e70035c1f57c3be0b409385ed58c177aed46,767387143.779415173800484933,18
TrollFace,TROLL FACE,0x149ed6b7cfe3716138c6ba37547c6e2e0e6f1c53,2992975413.948820873055694933,18
XETH,X Ethereum,0x14ce39d1b1c7fe0d40f5cb1f81935842b669c75e,50633863727388.790020487141387901,18
$Earth,Earth Protocol,0x14d2a5d2d800588045100c28ab7c0647f8fb36cb,54157427.64885613,9
Netflix,Netflix Metaverse,0x1529d38ec383c9157d2547456428735e1e9898bb,767387143.779415173800484933,18
GEL,Gelato,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05,37.13564569776095129,18
AIN,AI Nutritionist,0x15cf67ea28349b54529746ac589ebf4706cf8c25,3688768.614880132394787272,18
GALA,Gala,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,3386.9461755,8
Brazil,Brazil Quarter-finals,0x15e80153dd0764de3999094984cf283694a4d70a,483169.963412562377700925,18
Hermes,Hermes Metaverse,0x15f8c18140ad95b61ce580920ddb5029aa610b37,767387143.779415173800484933,18
FKX,FortKnoxster,0x16484d73ac08d2355f466d448d2b79d2039f6ebb,1.0,18
Marlboro,Marlboro Metaverse,0x16f290cefd753b5fce7b1303fbd49e5c562eae03,10000000000000.0,18
BITCOINCASH,HarryPotterOsamaSonic10Inu,0x17021f9bafeec8c12db605624797a52fc8bcc57c,69.0,18
NKMGS,Nakamigos,0x17a43c61aa9b5a558f97c63a278d04577b409934,6633780.536100763941438925,18
MONEY,Money20.fun,0x17b6cccf3e340533e343cf3013714af54ec5f73d,2222222222.0,9
FAP,Fap Coin,0x17cd1c824310bacfb5ae09dcc6151fccca8a7043,8413800.0,9
ARB,Arbitrum,0x17d12ebcbce5e876ae0324d053cea49e5198108f,262121465.767865588774619902,18
XBOX,XBOX Metaverse,0x1884f9eda99ca66c72d6fecdfbf9689d6bbe3b03,767387143.779415173800484933,18
eGO,GoGuides,0x18cabd1e7db6c52406719cb72859ea2c2eea75d6,100.0,18
ARX,AuroraX,0x18cee7843c3a62f44fa1eb4de591a72a7968ebf1,51649010685.188427483716357724,18
BZZ,Swarm,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,3.01,16
OpenSea,OpenSea DAO,0x1954be5ad76affc667ea4354ee54c83aec71b07d,359852745453.099094986299856491,18
Pfizer,Pfizer Metaverse,0x1979e5f445ec84fcad600a3597ae3280e0b2400e,100000000000000.0,18
BIT,BitDAO,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,1.0,18
TCATI,Crino Tcati,0x1a79f5c9e1ec29e83fb765c9917ae848f57cdb1e,42000000000.0,9
WCS,World Cup Shiba,0x1a9bc7d6532961e38d7d6b615c83dd5252e309a2,16710169.556688030769944687,18
DAVE,DAVE,0x1ae20784b52466b5412387bb15b980e00f1f078b,500000.0,18
VOOF,VOOFTALIK BUTERIN,0x1b0d5295ffe7b7138a27bc08983b8ac5e3576248,1000000000000.0,18
Genie,Genie,0x1b329445ed205ce63b2afd6b37e0c87920dfd970,767387143.779415173800484933,18
Nexon,Nexon Metaverse,0x1b827ffa899d6d3561ec99a14000542b49dec895,767387143.779415173800484933,18
PUP,Proper Unification Protocol,0x1b8afe979fc23410fa9a8fd0d6ea018e1a9589fa,45000.0,9
vUSD,Value USD,0x1b8e12f839bd4e73a47addf76cf7f0097d74c14c,0.013328631,9
TEHBANK,TEH BANK,0x1ba6859e161887c64f8543c5cfcb1d422cb822a7,500000000000.0,18
DGTR,Degentraland,0x1bbdf6443387836a68f40b07b0ac5ccde8309082,600000000000.0,9
Jordan,Jordan Metaverse,0x1be8057d9de654f3856799b93a045cf78426dc1d,767387143.779415173800484933,18
Vitalik,Vitalik,0x1bf3f9ad4455ae5e36e296a2f4576ace05bd2014,1000000000.0,18
YUNA,Yuna Token (YunaToken.io),0x1c261d5b5566bbb489d93622d68a7d7964c72b0a,9092658.0,18
BLO,BLONDCOIN,0x1c3bb10de15c31d5dbe48fbb7b87735d1b7d8c32,3.0,18
OKINAMI,Kanagawa Nami,0x1c4853ec0d55e420002c5efabc7ed8e0ba7a4121,520.00003331,9
RND,random,0x1c7e83f8c581a967940dbfa7984744646ae46b29,1000000000.0,18
Wombex,Wombex Finance,0x1c902a52edfe3edbcd73b6ceb1526043c5c07272,609308.6124394,8
BANTER,Shibanter,0x1cb786b0ffd8add4b9b829d8cfc70030bfdfe8c0,400000000000.0,18
